1.5,1.5,1.5,1.5,1.5
1.5792,1.461,1.4875,1.4454,1.5154
1.6206,1.3943,1.4065,1.5833,1.4457
1.5634,1.2654,1.4475,1.5284,1.3563
1.7023,1.5611,1.717,1.4533,1.4456
1.5643,1.6108,1.5068,1.6504,1.4157
1.4973,1.9017,2.1982,2.2252,1.7205
1.3749,1.7276,2.7302,2.6978,1.999
1.4889,1.9372,3.268,3.0439,1.9489
1.2965,2.2256,4.2139,2.8591,2.1395
1.0613,2.4948,4.3269,3.2622,2.2878
1.6441,2.3556,3.9889,3.9938,2.0612
1.2441,2.1434,4.7426,3.5023,1.8497
1.6864,1.3322,4.2921,3.0621,2.0796
1.7444,1.0614,4.4578,3.7263,2.6837
1.8172,1.1069,4.5559,2.9011,2.3248
1.4453,1.1809,4.5243,3.0505,3.1912
1.6075,0.93632,4.0728,3.0065,2.815
1.3933,0.78464,4.8412,3.2459,3.145
0.98177,1.4218,4.0346,4.5872,3.2779
1.2732,1.1406,2.3354,5.5664,3.0203
1.0739,0.90961,2.5102,5.9908,3.8581
1.3447,1.5465,1.5688,4.5938,4.7864
2.5042,1.6401,1.2735,4.7712,5.5213
1.9151,1.5946,1.2693,5.9096,5.0918
2.5996,1.918,1.1764,5.6723,4.539
3.3491,1.7363,1.7459,5.7826,4.8784
2.9518,1.2547,2.3072,4.4427,4.594
2.5969,2.2858,1.949,3.4676,4.6171
1.6497,2.9366,2.2847,3.7716,4.4698
3.6253,2.3737,3.052,4.3363,4.6225
3.3384,2.2746,2.4419,3.5281,5.8624
3.8578,0.99321,1.6951,4.7723,7.0813
3.9282,0.91986,1.7027,4.2204,4.9946
3.9159,1.572,2.6737,5.3593,4.3291
2.9683,2.2325,1.8428,5.2144,4.9534
3.2973,2.4321,1.7727,4.1171,5.3396
3.9316,1.8362,1.9356,3.5131,4.9544
5.6115,3.1876,1.1649,2.3591,3.4719
3.8651,4.4563,1.3045,3.2426,2.3962
3.7718,6.9559,1.0858,3.2177,2.0634
3.6682,4.8699,1.7103,2.2005,2.5622
4.1516,6.1844,1.4969,2.6604,2.4706
3.1667,5.3208,1.861,3.3414,3.787
3.9115,5.6268,1.6779,3.0328,2.4178
3.4753,4.2788,1.6291,3.0015,2.9523
3.0391,4.4747,1.6736,3.2898,1.8363
4.993,6.1645,2.1557,3.6658,1.4576
6.0507,6.9984,3.6492,2.6062,0.93677
4.7556,6.009,3.3359,3.8178,1.0726
4.6136,6.8704,4.8966,4.4854,1.3521
3.9314,4.4121,5.8175,4.4823,1.5193
3.8188,2.2728,6.1712,4.9094,2.1944
2.4146,1.4844,7.5834,4.3693,1.8143
2.6777,1.3854,7.8035,4.2695,3.4142
3.021,2.4422,5.0522,4.9935,4.5118
1.6696,2.1687,5.3378,4.6448,2.0819
1.3916,0.96308,1.8013,4.3511,1.8016
1.9282,1.6855,3.1456,5.3667,1.8508
3.3855,0.63717,2.859,8.6484,1.9668
2.5246,1.5101,2.8625,6.1517,1.9127
4.7883,1.9533,2.2174,4.9572,3.1552
3.5297,1.9589,1.4338,5.5602,2.4599
5.6162,2.1547,0.85212,5.4021,0.7316
4.0148,2.1554,2.1464,4.3445,0.55893
1.996,1.0345,2.492,2.4407,1.5609
1.9206,1.7847,5.0831,4.068,1.7302
2.3831,2.075,2.9932,2.5575,1.9176
1.2546,2.6342,3.5191,1.8763,2.6247
3.1883,2.4578,2.5582,3.5022,3.5666
4.8533,1.2652,3.4241,3.7787,3.4294
5.8298,1.7527,3.7083,3.8193,1.7822
5.5594,1.5116,4.0289,4.2882,1.3529
3.5691,2.6088,4.5385,3.4826,2.3598
6.4045,2.1607,3.9614,2.2213,3.5476
9.6973,1.846,1.578,2.6475,3.1685
7.8706,1.3811,1.7694,2.4275,4.6437
7.7057,1.314,1.773,2.8658,4.5096
6.1249,1.8863,1.5085,3.8183,1.6369
4.8772,2.0904,0.82552,2.6663,3.0387
4.5205,1.5862,2.6387,3.9772,3.8701
4.6746,1.9877,3.7857,2.9335,3.353
2.3646,1.8949,6.0861,4.3081,3.1461
1.8759,1.3714,4.8877,4.5023,2.0406
2.546,2.5496,4.7653,3.1793,4.1227
2.9279,2.6556,5.9116,2.4574,1.8275
1.6864,2.0458,3.6615,4.319,1.3825
2.465,1.7446,2.1811,3.2942,1.406
1.8695,1.7703,2.0976,3.2636,1.1321
1.7419,1.4461,2.1414,2.2012,2.9637
2.0045,2.8155,2.2017,3.101,1.6633
2.7996,3.7367,3.3991,2.6315,4.1019
1.8629,5.8801,4.0803,4.554,3.6685
1.249,4.7508,3.4058,3.431,3.2859
1.5753,3.5568,3.1887,3.7716,5.0901
2.1759,3.7704,1.4014,2.9416,2.2348
1.8625,3.4486,2.0953,1.6578,2.4042
2.7172,2.6788,2.1966,2.3383,3.1749
2.6571,3.9275,1.0674,2.1022,1.473
1.6869,4.5776,1.222,1.738,1.6451
2.8016,3.3069,0.97536,2.0482,2.9188
