1.3813,1.3873,1.3822,1.4125,1.3957,1.3939,1.4087,1.3975,1.3848,1.3912
1.3967,1.3838,1.3865,1.4132,1.3855,1.386,1.4085,1.3905,1.3884,1.3828
1.4084,1.3663,1.3987,1.4154,1.3864,1.3858,1.4187,1.3716,1.3923,1.3781
1.4155,1.3611,1.4016,1.4302,1.3778,1.4025,1.4066,1.3828,1.3966,1.387
1.3974,1.3523,1.402,1.4309,1.4068,1.393,1.4079,1.356,1.4043,1.3879
1.4089,1.3487,1.4214,1.4215,1.4221,1.405,1.4156,1.3564,1.3958,1.4133
1.4036,1.3526,1.4117,1.4416,1.4428,1.4262,1.3959,1.3567,1.3953,1.4406
1.4105,1.3434,1.4221,1.4339,1.4416,1.4227,1.4116,1.345,1.386,1.4318
1.4107,1.3307,1.4308,1.4319,1.4406,1.4345,1.4001,1.3474,1.388,1.4357
1.4108,1.3395,1.4501,1.42,1.4536,1.4387,1.3913,1.3653,1.404,1.4331
1.3896,1.3528,1.4481,1.4163,1.4427,1.4651,1.3887,1.3519,1.3949,1.4346
1.384,1.3631,1.4553,1.3992,1.4542,1.4611,1.3839,1.3863,1.3901,1.463
1.3839,1.3628,1.4563,1.4168,1.4599,1.4534,1.403,1.3733,1.3844,1.4465
1.3784,1.3807,1.4605,1.4209,1.4358,1.449,1.3926,1.3941,1.3799,1.453
1.3653,1.382,1.4687,1.4389,1.4322,1.4551,1.415,1.4044,1.3615,1.4413
1.3761,1.3973,1.4742,1.4324,1.4467,1.4322,1.4024,1.4027,1.3654,1.4481
1.3835,1.3871,1.4966,1.4415,1.4561,1.4196,1.4242,1.401,1.3616,1.4588
1.3727,1.386,1.5065,1.427,1.4678,1.413,1.418,1.3884,1.3638,1.471
1.376,1.3791,1.4953,1.4397,1.4768,1.4179,1.4241,1.3916,1.3687,1.4453
1.3589,1.3784,1.4812,1.4489,1.4727,1.4191,1.4256,1.3883,1.3716,1.4407
1.3814,1.3748,1.4792,1.4541,1.4843,1.415,1.4328,1.394,1.3775,1.4228
1.3942,1.3853,1.4727,1.44,1.5063,1.4083,1.4302,1.4026,1.3639,1.4168
1.4012,1.3907,1.4602,1.4457,1.5431,1.4234,1.4373,1.4056,1.3561,1.4184
1.4081,1.3903,1.4649,1.4465,1.5295,1.419,1.4325,1.4071,1.3617,1.4103
1.4129,1.4148,1.459,1.4492,1.5103,1.4082,1.4398,1.4048,1.3509,1.3929
1.4177,1.4377,1.4401,1.4653,1.5119,1.3958,1.4506,1.4096,1.3623,1.4027
1.4182,1.4402,1.4462,1.4688,1.5006,1.3963,1.4859,1.4126,1.3662,1.413
1.4247,1.4375,1.4333,1.4768,1.505,1.3922,1.4869,1.4274,1.3616,1.4269
1.4027,1.4298,1.443,1.4917,1.5064,1.3993,1.49,1.4397,1.3583,1.4178
1.3825,1.4283,1.4353,1.4993,1.5003,1.3825,1.4828,1.4437,1.3506,1.4332
1.3786,1.419,1.4446,1.5098,1.5228,1.3886,1.4823,1.4412,1.3484,1.4504
1.3971,1.445,1.4542,1.5148,1.522,1.4015,1.4962,1.4372,1.3489,1.4496
1.3833,1.4558,1.4495,1.5219,1.5063,1.4059,1.4875,1.4466,1.3515,1.4478
1.376,1.4708,1.4491,1.5309,1.5159,1.4077,1.5089,1.4454,1.3649,1.458
1.371,1.4726,1.4408,1.5385,1.5379,1.4045,1.5093,1.4499,1.3556,1.5113
1.3864,1.4781,1.4346,1.5442,1.563,1.4085,1.4983,1.443,1.3644,1.5361
1.3897,1.4939,1.4039,1.5357,1.5546,1.415,1.4833,1.4459,1.355,1.5072
1.3792,1.4908,1.3858,1.5348,1.5814,1.4188,1.4759,1.4247,1.3325,1.4964
1.3657,1.4834,1.3988,1.5413,1.578,1.4015,1.4745,1.4234,1.333,1.5214
1.3728,1.4633,1.3872,1.541,1.5596,1.393,1.4808,1.4084,1.337,1.5128
1.3694,1.4811,1.3844,1.5402,1.5684,1.3924,1.467,1.4139,1.3325,1.525
1.3803,1.48,1.3649,1.5382,1.5692,1.3979,1.4716,1.3962,1.3307,1.4941
1.3796,1.4924,1.3908,1.5282,1.5689,1.4028,1.4881,1.3942,1.3277,1.4654
1.388,1.5054,1.4067,1.5293,1.5749,1.4256,1.5044,1.4091,1.3248,1.4319
1.3882,1.5132,1.4112,1.5168,1.5747,1.4019,1.508,1.4112,1.3295,1.4383
